timestamp,call_sid,conference_sid,transfer_initiated_at,operator_joined_at,latency_seconds
2026-03-18T13:03:16+09:00,CA53d9e8d512ed23a3abf20cbdc040ae23,CFceb9bf78f293dbaf11d4a2c87caf8bf6,2026-03-18T13:03:16+09:00,2026-03-18T13:03:16+09:00,0.41
2026-03-18T13:03:51+09:00,CA1f49d4df79eca1dbcc02db903a744732,CF7373a5ba0b9ef7544576c2cb7f43dd36,2026-03-18T13:03:51+09:00,2026-03-18T13:03:51+09:00,0.39
2026-03-19T12:54:02+09:00,CAd52ff19dc1ea0fa0bfac32661fc2abbb,CF6d7afb9e5f4df59ce3a7afc19be74a89,2026-03-19T12:54:01+09:00,2026-03-19T12:54:02+09:00,0.51
2026-03-21T11:59:01+09:00,CA349c6523fc99ec1f565e7a4cae9a0936,CF32589fb7e9e4a3dc3e39816218a6645a,2026-03-21T11:59:01+09:00,2026-03-21T11:59:01+09:00,0.39
2026-03-21T12:00:44+09:00,CA8d18af82c6872344c91118ce81997374,CFbf1b4b63d80bdf4191b708e5743e5763,2026-03-21T12:00:44+09:00,2026-03-21T12:00:44+09:00,0.43
2026-03-23T11:13:46+09:00,CA0b618f487ad0fbc0f59855619eeaa707,CFd612fe0bf72e74e6675415f7d6bdb95e,2026-03-23T11:13:46+09:00,2026-03-23T11:13:46+09:00,0.42
2026-03-23T11:14:58+09:00,CA33e6fd05013653aac0d2431b3281ed0d,CFda0dd4dc399c7e473eefc960ee1775c3,2026-03-23T11:14:58+09:00,2026-03-23T11:14:58+09:00,0.41
2026-03-25T12:02:55+09:00,CAa5752185a0877f07a4fa3fd73bea9d94,CF28eb537f8decaa8a9f75e33c0b4e67a0,2026-03-25T12:02:54+09:00,2026-03-25T12:02:55+09:00,0.51
